timestamp,FN2O_C1_broadcast_middle_strip_by_gateway,FN2O_C3_broadcast_middle_with_inhibitor,FN2O_C4_broadcast_side_strip_with_inhibitor
2023-07-09 11:00:00,1.71236,42.369,42.3079
2023-07-09 11:30:00,1.73587,42.0138,42.0363
2023-07-09 12:00:00,1.87357,43.9755,44.4966
2023-07-09 12:30:00,1.84133,45.5429,48.1079
2023-07-09 13:00:00,1.88281,43.8021,46.9861
2023-07-09 13:30:00,1.71652,43.116,47.7442
2023-07-09 14:00:00,1.63685,42.9372,48.0904
2023-07-09 14:30:00,1.84498,46.7266,50.9327
2023-07-09 15:00:00,0.71281,46.3648,37.6869
2023-07-09 15:30:00,1.36338,50.2492,52.3571
2023-07-09 16:00:00,1.87707,50.3586,58.5336
2023-07-09 16:30:00,2.04842,49.4992,57.0871
2023-07-09 17:00:00,2.29787,49.893,55.8377
2023-07-09 17:30:00,2.0759,46.1256,52.4777
2023-07-09 18:00:00,1.90346,43.3531,48.795
2023-07-09 18:30:00,1.75333,40.6542,47.6547
2023-07-09 19:00:00,1.64837,38.575,46.3729
2023-07-09 19:30:00,1.61842,39.0721,46.5478
2023-07-09 20:00:00,1.5757,37.2991,43.6214
2023-07-09 20:30:00,1.54511,37.2419,41.9135
2023-07-09 21:00:00,1.52589,37.0188,43.457
2023-07-09 21:30:00,1.55438,40.1621,45.519
2023-07-09 22:00:00,1.60612,36.7362,46.8177
2023-07-09 22:30:00,1.51221,36.4573,41.1826
2023-07-09 23:00:00,1.5687,34.34,42.2812
2023-07-09 23:30:00,0.908608,6.33436,40.6866
2023-07-10 00:00:00,0.402258,1.74019,11.6081
2023-07-10 00:30:00,0.553481,4.93208,23.1882
2023-07-10 01:00:00,0.696528,8.00761,29.5593
2023-07-10 01:30:00,0.904242,10.1721,34.4939
2023-07-10 02:00:00,1.14797,11.3087,37.8025
2023-07-10 02:30:00,1.19816,12.6612,39.6638
2023-07-10 03:00:00,1.29258,12.5894,43.1793
2023-07-10 03:30:00,1.37699,14.6015,45.2621
2023-07-10 04:00:00,1.47219,14.813,45.3991
2023-07-10 04:30:00,1.36765,14.9755,43.2963
2023-07-10 05:00:00,1.34089,16.4239,44.1252
2023-07-10 05:30:00,1.31883,16.9384,45.0257
2023-07-10 06:00:00,1.27257,18.4462,45.6536
2023-07-10 06:30:00,1.32672,19.3782,46.7736
2023-07-10 07:00:00,1.38559,21.3725,46.3545
2023-07-10 07:30:00,1.42052,23.1126,50.2282
2023-07-10 08:00:00,1.45006,24.7302,50.2888
2023-07-10 08:30:00,1.58316,38.7136,55.142
2023-07-10 09:00:00,1.87316,39.5266,60.589
2023-07-10 09:30:00,1.82062,48.4936,65.8762
2023-07-10 10:00:00,2.02925,57.2038,62.7782
2023-07-10 10:30:00,2.20056,58.3618,67.9973
2023-07-10 11:00:00,2.1386,62.304,74.8406
2023-07-10 11:30:00,2.23262,62.9713,70.9281
2023-07-10 12:00:00,2.1653,62.7201,76.0838
2023-07-10 12:30:00,2.19749,63.9676,75.7916
2023-07-10 13:00:00,2.20078,64.3511,81.0783
2023-07-10 13:30:00,2.12915,65.5459,77.7602
2023-07-10 14:00:00,2.16598,69.135,76.9836
2023-07-10 14:30:00,2.26335,69.0093,81.8281
2023-07-10 15:00:00,2.2819,66.9267,81.7752
2023-07-10 15:30:00,2.32944,73.1142,92.2192
2023-07-10 16:00:00,2.25898,75.3315,85.8326
2023-07-10 16:30:00,2.13322,78.1093,87.7842
2023-07-10 17:00:00,1.90438,69.9041,69.332
2023-07-10 17:30:00,1.73179,65.218,66.9727
2023-07-10 18:00:00,1.7973,64.0628,62.1553
2023-07-10 18:30:00,1.65191,61.9674,61.0743
2023-07-10 19:00:00,1.5449,58.7838,54.6569
2023-07-10 19:30:00,1.52645,54.9755,51.3691
2023-07-10 20:00:00,1.3849,54.597,51.181
2023-07-10 20:30:00,1.31691,53.1297,48.7476
2023-07-10 21:00:00,1.39289,53.1382,50.3541
2023-07-10 21:30:00,1.29568,51.6999,49.6436
2023-07-10 22:00:00,1.30512,51.5364,46.7697
2023-07-10 22:30:00,1.26895,52.6148,50.468
2023-07-10 23:00:00,1.33001,53.0356,50.0047
2023-07-10 23:30:00,1.28314,49.1633,42.8276
2023-07-11 00:00:00,1.31527,50.222,45.1112
2023-07-11 00:30:00,1.28563,49.5796,46.9375
2023-07-11 01:00:00,1.28601,48.9773,46.3857
2023-07-11 01:30:00,1.23976,47.6646,44.6709
2023-07-11 02:00:00,1.3134,47.766,43.9181
2023-07-11 02:30:00,1.2252,45.9435,41.5816
2023-07-11 03:00:00,1.23609,46.8597,42.3636
2023-07-11 03:30:00,1.1921,47.2937,44.0481
2023-07-11 04:00:00,1.18339,47.7687,42.5651
2023-07-11 04:30:00,1.21575,47.1196,42.5299
2023-07-11 05:00:00,1.24331,47.3005,42.1566
2023-07-11 05:30:00,1.2563,47.1085,45.1796
2023-07-11 06:00:00,1.22857,47.0691,40.7514
2023-07-11 06:30:00,1.26627,47.1022,43.1095
2023-07-11 07:00:00,1.18734,46.5421,39.4723
2023-07-11 07:30:00,1.25172,46.7668,39.7528
2023-07-11 08:00:00,1.25883,47.4872,38.8915
2023-07-11 08:30:00,1.29845,48.3812,39.5459
2023-07-11 09:00:00,1.44011,62.603,45.3744
2023-07-11 09:30:00,1.81561,65.6972,51.844
2023-07-11 10:00:00,1.625,67.4648,53.9065
2023-07-11 10:30:00,1.86259,70.7693,59.2989
2023-07-11 11:00:00,2.09043,81.995,63.26
2023-07-11 11:30:00,1.99607,73.8366,60.5851
2023-07-11 12:00:00,1.89396,69.6176,62.9395
2023-07-11 12:30:00,0.459712,19.1316,2.52299
2023-07-11 13:00:00,0.862634,34.4248,25.4312
2023-07-11 13:30:00,1.35256,45.4633,40.2952
2023-07-11 14:00:00,1.76901,48.844,54.1704
2023-07-11 14:30:00,1.9328,47.7255,61.8246
2023-07-11 15:00:00,1.90679,48.3883,57.5882
2023-07-11 15:30:00,1.80464,42.6305,51.2342
2023-07-11 16:00:00,1.6093,46.8645,42.5177
2023-07-11 16:30:00,1.47755,48.4016,39.3595
2023-07-11 17:00:00,1.30883,47.257,41.2709
2023-07-11 17:30:00,1.29665,52.1035,36.1605
2023-07-11 18:00:00,1.18913,48.4817,38.6653
2023-07-11 18:30:00,1.30408,45.1211,39.4068
2023-07-11 19:00:00,1.13175,42.2325,36.6107
2023-07-11 19:30:00,1.22431,43.8115,42.0721
2023-07-11 20:00:00,1.26227,45.6713,40.9341
2023-07-11 20:30:00,1.13777,40.4687,38.4331
2023-07-11 21:00:00,0.233313,2.82632,6.638
2023-07-11 21:30:00,0.330708,4.20624,13.7039
2023-07-11 22:00:00,0.339294,5.67942,20.3392
